"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.808839779005525,0,0,0.74895362464423,0.0464253331079298,0.999309392265193,0,0.0193370165745856,0.980662983425414,362,1
"2",0.202885682574932,1,1,0.544887274521011,0.0107753345702951,0.25,0,0.0206437291897891,0.979356270810211,4505,2
"3",0.217923763179255,1,1,0.495709323568208,0.00933935639062948,0.75,0,0.0427818329278183,0.957218167072182,4932,3
"4",0.200000000000009,1,1,0.783406666506399,0.0094497849652245,0.75,0,0,1,3781,4
"5",0.20000000000001,1,1,0.480352224376896,0.0082695216022813,0,0,0.0100231303006939,0.989976869699306,3891,5
"6",0.200000000000026,1,1,0.216762333229903,0.00691371568107735,0.5,0,0.0359783845278726,0.964021615472127,7032,6
"7",0.233736966027606,0,1,0.370465502655208,0.0772089568869527,0.994281870164817,0,0.0506222670702994,0.949377732929701,5946,7
"8",0.200000000000022,1,1,0.94432067440919,0.00675565208641069,0.5,0,0,1,5876,8
"9",0.200000000000026,1,1,0.358287389650827,0.00678651152532099,0.5,0,0.0278786118774503,0.97212138812255,6887,9
"10",0.200000000000017,1,1,0.399065434099231,0.00942577587720017,0.75,0,0.0321655398483917,0.967834460151608,4881,10
"11",0.213097345132745,0,0,0.777831411459731,0.431814939600725,1,0,0.00176991150442478,0.998230088495575,565,11
"12",0.229901600822468,0,1,0.877004736749211,0.11795985876798,1,0,0,1,6809,12
"13",0.20000000000002,1,1,0.283546391125851,0.00838616784669785,0,0,0.00714688734248636,0.992853112657514,5317,13
"14",0.206231988472643,1,1,0.604688819026007,0.00688878920728238,0.5,0,0.0167507204610951,0.983249279538905,5552,14
"15",0.211908177905303,0,0,0.873208411228508,0.227547095847552,1,0,0,1,1394,15
"16",0.213661379087086,0,0,0.496591031715669,0.0733774675784499,0.992149562965361,0,0.0628034962771123,0.937196503722888,3089,16
"17",0.212788823213354,1,1,0.207210471181448,0.0105578277401696,0.25,0,0.0252552391187534,0.974744760881247,7444,17
"18",0.22018604651162,1,1,0.983147756636142,0.00832255399863189,0,0,0,1,2150,18
